gene_id,gene_name,gt,paean,salmon,kallisto,featureCounts,rsem,paean_acc,salmon_acc,kallisto_acc,featureCounts_acc,rsem_acc
ENSG00000119638.14,NEK9,388,367,300,343,367,254,94.58762887,77.31958763,88.40206186,94.58762887,65.46391753
ENSG00000285082.2,AL160272.2,256,241,9,18,0,4,94.140625,3.515625,7.03125,0,1.5625
ENSG00000233508.3,AL021395.1,211,193,142,174,189,111,91.46919431,67.2985782,82.46445498,89.57345972,52.60663507
ENSG00000237289.10,CKMT1B,7,4,2,4,2,2,57.14285714,28.57142857,57.14285714,28.57142857,28.57142857
ENSG00000175727.14,MLXIP,560,520,360,405,506,278,92.85714286,64.28571429,72.32142857,90.35714286,49.64285714
ENSG00000198373.13,WWP2,14,11,5,11,11,5,78.57142857,35.71428571,78.57142857,78.57142857,35.71428571
ENSG00000184640.19,SEPTIN9,380,340,207,252,339,138,89.47368421,54.47368421,66.31578947,89.21052632,36.31578947
ENSG00000089091.16,DZANK1,33,31,0,0,0,0,93.93939394,0,0,0,0
ENSG00000278311.5,GGNBP2,14,11,9,12,11,7,78.57142857,64.28571429,85.71428571,78.57142857,50
ENSG00000269210.2,AC019171.1,8,7,7,4,1,3,87.5,87.5,50,12.5,37.5
ENSG00000138760.10,SCARB2,44,40,32,38,40,27,90.90909091,72.72727273,86.36363636,90.90909091,61.36363636
ENSG00000203811.1,H3C14,120,68,89,46,49,30,56.66666667,74.16666667,38.33333333,40.83333333,25
ENSG00000156709.15,AIFM1,5930,5421,3805,4078,5391,2683,91.41652614,64.16526138,68.76897133,90.91062395,45.24451939
ENSG00000047315.17,POLR2B,27,21,12,7,21,4,77.77777778,44.44444444,25.92592593,77.77777778,14.81481481
ENSG00000131591.18,C1orf159,68,65,51,62,65,42,95.58823529,75,91.17647059,95.58823529,61.76470588
ENSG00000163701.19,IL17RE,9,8,7,7,8,4,88.88888889,77.77777778,77.77777778,88.88888889,44.44444444
ENSG00000173914.12,RBM4B,96,87,72,75,87,52,90.625,75,78.125,90.625,54.16666667
ENSG00000205396.11,LINC00661,54,49,30,33,38,21,90.74074074,55.55555556,61.11111111,70.37037037,38.88888889
ENSG00000163485.17,ADORA1,28,25,19,24,22,12,89.28571429,67.85714286,85.71428571,78.57142857,42.85714286
ENSG00000249437.8,NAIP,6,3,4,4,3,1,50,66.66666667,66.66666667,50,16.66666667
ENSG00000118412.13,CASP8AP2,5,4,4,4,4,3,80,80,80,80,60
ENSG00000242009.2,AC129807.1,17,16,16,12,15,10,94.11764706,94.11764706,70.58823529,88.23529412,58.82352941
ENSG00000259282.5,SPATA8-AS1,3,2,1,2,2,1,66.66666667,33.33333333,66.66666667,66.66666667,33.33333333
ENSG00000229695.1,AC011242.1,122,111,86,90,110,57,90.98360656,70.49180328,73.7704918,90.16393443,46.72131148
ENSG00000268221.6,OPN1MW,85,35,66,78,19,53,41.17647059,77.64705882,91.76470588,22.35294118,62.35294118
ENSG00000244968.7,LIFR-AS1,200,190,150,181,150,126,95,75,90.5,75,63
